,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_DATE,valid_end_DATE,invalid_reason
0,2213427,"Hepatitis A vaccine (HepA), adult dosage, for intramuscular use",Drug,CPT4,CPT4,S,90632,1970-01-01,2099-12-31,
1,2213438,"Influenza virus vaccine, trivalent (IIV3), split virus, preservative free, 0.5 mL dosage, for intramuscular use",Drug,CPT4,CPT4,S,90656,2005-01-19,2099-12-31,
2,2213439,"Influenza virus vaccine, trivalent (IIV3), split virus, 0.25 mL dosage, for intramuscular use",Drug,CPT4,CPT4,S,90657,1970-01-01,2099-12-31,
3,2213440,"Influenza virus vaccine, trivalent (IIV3), split virus, 0.5 mL dosage, for intramuscular use",Drug,CPT4,CPT4,S,90658,1970-01-01,2099-12-31,
4,2213442,"Influenza virus vaccine, trivalent, live (LAIV3), for intranasal use",Drug,CPT4,CPT4,S,90660,1970-01-01,2099-12-31,
5,2213444,"Influenza virus vaccine (IIV), split virus, preservative free, enhanced immunogenicity via increased antigen content, for intramuscular use",Drug,CPT4,CPT4,S,90662,2008-04-01,2099-12-31,
6,2213459,"Diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP), when administered to individuals younger than 7 years, for intramuscular use",Drug,CPT4,CPT4,S,90700,1970-01-01,2099-12-31,
7,2213462,"Tetanus toxoid adsorbed, for intramuscular use",Drug,CPT4,CPT4,,90703,1970-01-01,2017-05-07,D
8,2213472,"Tetanus and diphtheria toxoids adsorbed (Td), preservative free, when administered to individuals 7 years or older, for intramuscular use",Drug,CPT4,CPT4,S,90714,2006-02-13,2099-12-31,
9,2213473,"Tetanus, diphtheria toxoids and acellular pertussis vaccine (Tdap), when administered to individuals 7 years or older, for intramuscular use",Drug,CPT4,CPT4,S,90715,2004-03-31,2099-12-31,
10,2213483,"Pneumococcal polysaccharide vaccine, 23-valent (PPSV23), adult or immunosuppressed patient dosage, when administered to individuals 2 years or older, for subcutaneous or intramuscular use",Drug,CPT4,CPT4,S,90732,1970-01-01,2099-12-31,
11,2213487,"Zoster (shingles) vaccine (HZV), live, for subcutaneous injection",Drug,CPT4,CPT4,S,90736,2006-02-13,2099-12-31,
12,2213489,"Hepatitis B vaccine (HepB), dialysis or immunosuppressed patient dosage, 3 dose schedule, for intramuscular use",Drug,CPT4,CPT4,S,90740,1970-01-01,2099-12-31,
13,2213493,"Hepatitis B vaccine (HepB), dialysis or immunosuppressed patient dosage, 4 dose schedule, for intramuscular use",Drug,CPT4,CPT4,S,90747,1970-01-01,2099-12-31,
14,8516,Black or African American,Race,Race,Race,S,3,1970-01-01,2099-12-31,
15,8527,White,Race,Race,Race,S,5,1970-01-01,2099-12-31,
16,2617496,Acute myocardial infarction: patient documented to have received aspirin at arrival,Observation,HCPCS,HCPCS,,G8006,1970-01-01,2014-11-11,D
17,2617497,Acute myocardial infarction: patient not documented to have received aspirin at arrival,Observation,HCPCS,HCPCS,,G8007,1970-01-01,2014-11-11,D
18,2617499,Acute myocardial infarction: patient documented to have received beta-blocker at arrival,Observation,HCPCS,HCPCS,,G8009,1970-01-01,2014-11-11,D
19,2617500,Acute myocardial infarction: patient not documented to have received beta-blocker at arrival,Observation,HCPCS,HCPCS,,G8010,1970-01-01,2014-11-11,D
20,2617505,Diabetic patient with most recent hemoglobin a1c level (within the last 6 months) documented as greater than 9%,Observation,HCPCS,HCPCS,,G8015,1970-01-01,2014-11-11,D
21,2617506,Diabetic patient with most recent hemoglobin a1c level (within the last 6 months) documented as less than or equal to 9%,Observation,HCPCS,HCPCS,,G8016,1970-01-01,2014-11-11,D
22,2617509,Diabetic patient with most recent low-density lipoprotein (within the last 12 months) documented as greater than or equal to 100 mg/dl,Observation,HCPCS,HCPCS,,G8019,1970-01-01,2014-11-11,D
23,2617510,Diabetic patient with most recent low-density lipoprotein (within the last 12 months) documented as less than 100 mg/dl,Observation,HCPCS,HCPCS,,G8020,1970-01-01,2014-11-11,D
24,2617513,Diabetic patient with most recent blood pressure (within the last 6 months) documented as equal to or greater than 140 systolic or equal to or greater than 80 mmhg diastolic,Observation,HCPCS,HCPCS,,G8023,1970-01-01,2014-11-11,D
25,2617514,Diabetic patient with most recent blood pressure (within the last 6 months) documented as less than 140 systolic and less than 80 diastolic,Observation,HCPCS,HCPCS,,G8024,1970-01-01,2014-11-11,D
26,2617517,Heart failure patient with left ventricular systolic dysfunction (lvsd) documented to be on either angiotensin-converting enzyme inhibitor or angiotensin-receptor blocker (ace-i or arb) therapy,Observation,HCPCS,HCPCS,,G8027,1970-01-01,2014-11-11,D
